run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
delete,hotness,3.9320934607815454,0.2000624696011651,11.855056704780326
delete,hybrid,3.0960664986409947,0.2983501617315436,11.215226789555166
run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
delete,iterative,2.906913047753023,0.4927487822827857,13.583616919657558
delete,origin,6.5654501360018385,2.764808143295235,19.374125463033543
run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
read_only,hotness,3.016375906504518,0.4457517158921059,12.305269897231721
read_only,hybrid,2.6239710843939563,0.06204100867715799,11.411166790926206
run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
read_only,iterative,4.067440164798645,0.30403447363964503,13.699023898860125
read_only,origin,6.43686011574591,2.5086014412273605,19.887520450661874
run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
read_write,hotness,4.470369123373045,0.18247350243403687,12.925522418755813
read_write,hybrid,3.104638263515946,0.7996138773672344,12.512654300483609
run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
read_write,iterative,6.361499343693245,0.18485663408670855,13.994806847759829
read_write,origin,5.358042588898248,2.488186233018964,18.24448656829268
run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
write_only,hotness,2.7015877381121474,0.6891594814675998,11.21168900002123
write_only,hybrid,2.6267465025421437,0.1380441586088179,10.886656790057204
run_type,mode,icache_misses(MPKI)_mean,iTLB_misses(MPKI)_mean,branch_misses(MPKI)_mean
write_only,iterative,3.847618469706606,0.7342276176694538,11.923210801833111
write_only,origin,4.340840887315769,2.227982285563043,15.454380084747488
